qiskit,shp_reduced,gleinig,greedy_linear
26,226,114,205
26,175,94,202
26,176,92,190
26,232,128,217
26,161,92,198
26,217,113,241
26,201,112,164
26,203,91,186
26,196,92,236
26,194,95,238
26,196,107,204
26,213,110,175
26,173,109,214
26,226,110,210
26,226,105,179
26,159,93,223
26,208,109,195
26,148,92,233
26,200,89,150
26,248,127,189
26,229,95,180
26,215,109,175
26,149,100,181
26,211,95,216
26,225,125,237
26,202,93,205
26,196,110,197
26,149,94,164
26,232,91,199
26,218,107,166
26,227,94,196
26,194,112,184
26,219,93,199
26,270,111,196
26,235,107,172
26,230,108,204
26,226,114,213
26,167,93,254
26,222,106,202
26,214,108,165
26,278,109,173
26,216,94,196
26,263,107,172
26,187,93,210
26,202,110,192
26,192,110,219
26,205,110,228
26,202,110,166
26,178,90,217
26,158,107,199
26,229,112,281
26,226,111,174
26,234,91,163
26,160,111,184
26,240,111,232
26,213,94,199
26,209,93,200
26,183,114,201
26,189,110,225
26,189,90,226
26,233,110,205
26,223,92,217
26,203,133,233
26,145,110,197
26,198,112,166
26,194,125,205
26,171,112,250
26,183,95,198
26,180,94,190
26,192,131,173
26,205,110,229
26,240,108,232
26,182,92,209
26,234,114,192
26,172,97,172
26,193,107,211
26,165,95,179
26,212,108,203
26,237,109,187
26,206,112,194
26,205,108,219
26,181,123,234
26,236,116,155
26,231,108,220
26,217,109,220
26,171,111,205
26,211,127,197
26,225,112,176
26,192,108,218
26,206,94,177
26,186,99,167
26,218,98,232
26,221,112,251
26,217,92,174
26,186,108,148
26,215,110,254
26,222,110,191
26,231,110,171
26,202,124,205
26,245,94,223
26,203,108,198
26,256,110,224
26,232,95,191
26,214,114,159
26,174,128,178
26,180,94,178
26,193,110,160
26,176,91,221
26,233,109,182
26,261,113,222
26,234,110,227
26,234,95,187
26,224,93,177
26,155,89,142
26,176,88,238
26,194,91,187
26,196,98,236
26,219,94,194
26,206,91,223
26,155,111,227
26,211,107,183
26,167,90,235
26,238,107,184
26,134,110,205
26,205,125,225
26,180,113,216
26,186,111,150
26,196,110,184
26,116,91,218
26,249,109,205
26,177,94,172
26,255,113,247
26,176,125,197
26,193,109,198
26,209,126,212
26,224,127,161
26,208,109,198
26,263,130,238
26,201,113,223
26,206,109,184
26,194,109,207
26,210,129,174
26,219,108,205
26,244,111,210
26,230,111,190
26,202,109,186
26,228,93,166
26,183,113,230
26,219,126,229
26,244,108,193
26,217,111,226
26,170,111,225
26,194,111,145
26,180,113,224
26,203,107,205
26,197,110,211
26,221,108,168
26,237,108,181
26,209,89,219
26,151,93,203
26,259,106,201
26,212,92,179
26,199,145,232
26,209,111,170
