qiskit,shp_reduced,gleinig
11,60,27
11,69,30
11,46,30
11,35,28
11,36,29
11,38,29
11,40,27
11,56,27
11,36,32
11,32,38
11,48,29
11,46,29
11,78,29
11,69,29
11,40,29
11,33,27
11,47,27
11,30,28
11,47,29
11,60,31
11,35,29
11,54,30
11,57,39
11,46,27
11,32,29
11,37,28
11,48,26
11,32,32
11,32,30
11,51,36
11,37,32
11,43,29
11,47,27
11,46,29
11,44,36
11,35,26
11,57,27
11,47,32
11,58,30
11,32,25
11,34,27
11,33,29
11,75,25
11,51,28
11,56,25
11,66,27
11,45,36
11,46,26
11,58,24
11,42,25
11,37,29
11,41,29
11,45,30
11,48,30
11,44,28
11,38,29
11,37,27
11,35,29
11,37,27
11,48,27
11,49,27
11,49,25
11,32,26
11,47,27
11,46,28
11,35,29
11,38,26
11,59,28
11,50,30
11,67,29
11,64,34
11,45,29
11,38,29
11,37,26
11,46,28
11,37,27
11,40,29
11,35,28
11,36,28
11,47,34
11,45,29
11,32,28
11,44,25
11,35,28
11,46,29
11,35,28
11,37,30
11,43,29
11,40,33
11,43,27
11,34,30
11,46,30
11,54,33
11,36,28
11,42,28
11,32,28
11,34,33
11,47,30
11,40,27
11,35,27
11,37,26
11,52,29
11,36,35
11,37,28
11,43,26
11,45,29
11,37,26
11,36,28
11,40,30
11,34,27
11,47,37
11,44,29
11,38,29
11,55,30
11,40,28
11,37,29
11,37,30
11,42,29
11,52,30
11,34,28
11,57,31
11,34,26
11,34,34
11,50,29
11,44,27
11,64,27
11,32,25
11,37,32
11,33,31
11,41,29
11,49,28
11,36,28
11,34,30
11,71,29
11,49,28
11,33,27
11,40,28
11,37,28
11,46,29
11,55,36
11,37,30
11,33,26
11,43,27
11,35,34
11,34,27
11,50,29
11,49,28
11,32,30
11,48,30
11,45,30
11,41,25
11,62,29
11,33,27
11,58,30
11,54,29
11,48,30
11,34,28
11,47,30
11,59,28
11,37,27
11,35,28
11,48,29
11,33,26
11,34,31
11,46,26
11,48,26
11,37,28
11,45,25
11,45,30
11,34,37
11,34,28
11,34,32
11,67,26
11,38,29
11,55,28
11,44,32
11,37,29
11,53,30
11,36,24
11,46,31
11,43,25
11,35,29
11,71,26
11,33,29
11,59,27
11,46,29
11,65,28
11,42,35
11,44,27
11,55,28
11,71,30
11,38,29
11,57,28
11,69,30
11,48,30
11,57,35
11,58,30
11,32,27
11,48,27
11,47,27
11,46,28
11,36,27
11,38,30
11,45,30
11,33,27
11,35,30
9,34,27
11,38,30
11,32,32
11,36,28
11,47,35
11,35,28
11,36,28
11,92,29
11,56,30
11,55,29
11,33,25
11,55,29
11,42,30
11,43,30
11,48,26
11,45,29
11,48,29
11,33,33
11,46,30
11,39,28
11,54,30
11,60,29
11,55,30
11,28,26
11,48,31
11,51,29
11,34,27
11,57,30
11,45,27
11,34,28
11,52,35
11,48,28
11,53,29
11,39,28
11,38,25
11,55,28
11,36,30
11,45,30
11,44,27
11,43,27
11,49,29
11,57,27
11,52,29
11,63,36
11,34,29
11,33,26
11,46,28
11,50,28
11,33,26
11,34,37
11,47,26
11,58,29
11,40,28
11,39,29
11,33,28
11,49,28
11,34,27
11,49,29
11,41,33
11,34,29
11,30,25
11,73,30
11,34,27
11,48,27
11,44,30
11,34,30
11,45,28
11,44,29
11,36,28
11,33,28
11,65,28
11,34,26
11,39,29
11,34,28
11,55,27
11,55,36
11,34,28
11,57,30
11,44,27
11,71,26
11,45,35
11,54,26
11,32,29
11,35,27
11,47,27
11,45,35
11,42,31
11,33,25
11,37,30
11,35,29
11,32,27
11,40,29
11,55,34
11,57,27
11,46,26
11,36,28
11,32,26
11,58,30
11,38,28
11,51,30
11,33,32
11,34,28
11,36,28
11,36,25
11,46,29
11,35,27
11,46,32
11,49,28
11,48,29
11,46,30
11,39,30
11,38,27
11,39,29
11,36,31
11,34,28
11,34,27
11,36,29
11,82,30
11,66,27
11,58,31
11,44,30
11,41,30
11,47,31
11,36,28
11,39,29
11,35,30
11,48,28
11,55,28
11,57,26
11,48,29
11,35,30
11,67,28
11,71,29
11,61,30
11,42,28
11,47,30
11,45,29
11,35,27
11,56,28
11,32,28
11,44,29
11,32,25
11,50,29
11,39,30
11,34,26
11,47,26
11,36,29
11,43,27
11,46,27
11,59,26
11,36,28
11,37,25
11,36,28
11,40,28
11,35,28
11,58,24
11,49,27
11,37,28
11,36,28
11,70,29
11,34,25
11,37,27
11,71,28
11,36,27
11,47,28
11,31,38
11,51,27
11,48,29
11,48,29
11,36,27
11,46,31
11,35,27
11,51,27
11,37,27
11,51,28
11,32,28
11,58,29
11,44,29
11,49,28
11,38,28
11,46,27
11,52,29
11,35,27
11,48,30
11,36,29
11,45,30
11,49,31
11,36,29
11,59,31
11,40,30
11,34,29
11,36,26
11,36,32
11,38,26
11,46,32
11,48,30
11,49,29
11,55,28
11,43,27
11,57,27
